coupling_function,k,device_count,cycle_time,listening_rate,duration,format,run_count,readable_run_count,total_data_size_bytes,oldest_created_at,newest_created_at
KURAMOTO,1,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1001,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,101,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1011,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1021,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1031,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1041,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1051,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1061,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1071,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1081,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1091,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,11,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1101,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,111,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1111,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1121,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1131,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1141,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1151,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1161,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1171,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1181,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1191,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1201,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,121,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1211,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1221,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1231,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1241,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1251,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1261,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1271,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1281,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1291,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1301,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,131,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1311,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1321,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1331,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1341,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1351,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1361,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1371,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1381,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1391,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1401,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,141,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1411,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1421,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1431,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1441,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1451,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1461,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1471,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1481,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1491,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,151,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,161,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,171,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,181,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,191,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,201,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,21,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,211,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,221,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,231,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,241,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,251,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,261,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,271,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,281,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,291,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,301,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,31,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,311,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,321,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,331,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,341,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,351,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,361,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,371,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,381,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,391,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,401,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,41,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,411,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,421,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,431,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,441,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,451,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,461,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,471,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,481,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,491,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,501,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,51,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,511,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,521,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,531,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,541,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,551,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,561,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,571,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,581,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,591,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,601,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,61,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,611,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,621,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,631,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,641,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,651,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,661,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,671,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,681,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,691,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,701,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,71,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,711,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,721,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,731,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,741,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,751,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,761,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,771,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,781,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,791,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,801,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,81,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,811,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,821,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,831,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,841,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,851,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,861,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,871,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,881,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,891,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,901,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,91,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,911,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,921,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,931,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,941,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,951,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
